user_id,education,experience_years,skills,interests,certification,learning_source,projects_count,dominant_project_domain,target_career,row_type
39a79e1c,BSc,2,"reporting, sql, power bi, google analytics, r, data analysis",machine learning,IBM Data Analyst,university,3,data,Data Analyst,natural
5273f7b1,BSc,7,"ci/cd, git, python, kubernetes, prometheus, linux, excel",devops,None,self-taught,4,devops,DevOps Engineer,noise
d110e626,MCA,1,"statistics, python, tableau, machine learning, docker",data engineering,DeepLearning.AI,university,3,data,Data Scientist,noise
96b6d0cc,MBA,3,"agile, product management, sql, data analysis, business analysis, excel",business intelligence,None,university,3,business,Product Manager,natural
e17a4ba5,BSc,3,"excel, statistics, reporting, power bi",data engineering,Tableau Desktop,online-course,5,data,Data Analyst,natural
576315d3,BTech,3,"kubernetes, prometheus, docker, python, linux, jenkins",backend development,AWS DevOps,workplace,5,devops,DevOps Engineer,natural
48892fd4,BCA,4,"react native, kotlin, rest apis, javascript",frontend development,Apple Swift,workplace,3,mobile,Mobile Developer,natural
8a16d0de,MBA,4,"python, business analysis, jira, product management",product strategy,PMP,university,3,business,Product Manager,natural
5e23cc45,BBA,4,"jira, tableau, business analysis",growth marketing,None,university,3,business,Business Analyst,natural
231772df,BTech,0,"mongodb, nodejs, html",frontend development,AWS Solutions Architect,workplace,2,web,Full Stack Developer,natural
40572617,MCA,4,"webpack, javascript, react, css, html, figma",frontend development,Udemy Web Dev,online-course,2,web,Web Developer,pivot_t2
22c6222f,BTech,4,"git, ci/cd, jenkins, python, docker, terraform",cloud infrastructure,None,university,5,devops,DevOps Engineer,natural
cf987707,BBA,4,"requirements gathering, business analysis, excel, power bi, agile",growth marketing,None,workplace,3,business,Business Analyst,natural
032b37b9,BBA,4,"tableau, business analysis, excel, sql, python",product strategy,PMP,workplace,3,business,Business Analyst,natural
e3abdbf5,MBA,4,"ci/cd, kubernetes, docker, terraform, ansible",cloud infrastructure,Google Cloud Professional,bootcamp,7,devops,DevOps Engineer,pivot_t1
7a570a66,BCA,4,"ci/cd, docker, python, linux, prometheus",backend development,AWS DevOps,university,4,devops,DevOps Engineer,pivot_t1
f2935605,BTech,4,"sql, kubernetes, mlflow, python, deep learning",devops,DeepLearning.AI,online-course,3,ml,ML Engineer,natural
45fcd1c8,Diploma,5,"data analysis, statistics, pandas, r, machine learning, sql",business intelligence,Google Data Analytics,workplace,4,data,Data Scientist,pivot_t1
4dc19693,BBA,5,"pandas, machine learning, python, excel, sql, data analysis",machine learning,Coursera ML,bootcamp,8,data,Data Scientist,pivot_t1
82265599,MBA,3,"sass, figma, html, react, css, javascript",mobile development,None,workplace,3,web,Web Developer,pivot_t2
9a286960,BTech,1,"javascript, react, nodejs",backend development,None,bootcamp,2,web,Full Stack Developer,natural
942f5586,BSc,1,"tensorflow, pytorch, docker, machine learning, spark",devops,AWS ML Specialty,university,0,none,ML Engineer,natural
e04d7d9b,BCA,4,"python, deep learning, statistics, machine learning, r",machine learning,Google Data Analytics,self-taught,3,data,Data Scientist,pivot_t2
06612a17,MBA,2,"tableau, pandas, power bi, business analysis, python, wireframing",machine learning,Microsoft Power BI,online-course,3,data,Data Analyst,noise
b07a3dcc,Diploma,3,"html, ui/ux, sketch, adobe xd",product strategy,Meta Front-End Developer,workplace,3,design,UI/UX Designer,natural
51ed7f39,BBA,5,"power bi, sql, tableau, excel, python, reporting",business intelligence,Microsoft Power BI,online-course,6,data,Data Analyst,pivot_t1
c338fbb6,MCA,3,"python, statistics, tableau, sql",business intelligence,DeepLearning.AI,self-taught,2,data,Data Scientist,natural
96d1ff3a,BCA,6,"content writing, seo, google analytics, power bi, email marketing, social media",growth marketing,Meta Marketing,university,6,marketing,Digital Marketer,pivot_t2
be6903d6,BBA,6,"jira, business analysis, excel, tableau",product strategy,PMP,self-taught,5,business,Business Analyst,natural
9fef6427,Diploma,2,"design systems, figma, adobe xd, sketch, wireframing",frontend development,None,university,4,design,UI/UX Designer,natural
1145c874,BCA,3,"next.js, nodejs, mongodb, sql, css, ui/ux",devops,freeCodeCamp,university,3,web,Full Stack Developer,noise
a063c684,BSc,4,"javascript, typescript, css",mobile development,None,online-course,4,web,Web Developer,pivot_t3
38df7efa,BSc,5,"data analysis, python, power bi, r",machine learning,Tableau Desktop,university,3,data,Data Analyst,natural
0afc643f,BSc,1,"sketch, wireframing, user research, adobe xd, javascript, data analysis",frontend development,None,online-course,0,none,UI/UX Designer,noise
6a280295,Diploma,1,"prototyping, html, ui/ux, figma, python",ux research,Google UX Design,university,3,design,UI/UX Designer,noise
bdfe251c,MCA,4,"agile, requirements gathering, excel, sql, jira",business intelligence,Scrum Master,university,4,business,Business Analyst,pivot_t1
a09c23e1,BCA,6,"kotlin, javascript, swift, react native",frontend development,Flutter Certified,bootcamp,5,mobile,Mobile Developer,natural
94c674de,BBA,4,"kubernetes, aws, cloud computing, linux",devops,AWS DevOps,online-course,4,cloud,Cloud Engineer,pivot_t2
eb05cb33,BSc,5,"r, statistics, data analysis",machine learning,None,workplace,7,data,Data Scientist,natural
